CadetBlue	Kadétkék	#5F9EA0	95	158	160
PowderBlue	Kobaltkék	#B0E0E6	176	224	230
LightBlue	Világoskék	#ADD8E6	173	216	230
SkyBlue	Égszínkék	#87CEEB	135	206	235
LightskyBlue	Világos égszínkék	#87CEFA	135	206	250
SteelBlue	Acélkék	#4682B4	70	130	180
AliceBlue	Fehérkék	#F0F8FF	240	248	255
SlateGray	Palaszürke	#708090	112	128	144
LightSlateGray	Világos palaszürke	#778899	119	136	153
LightsteelBlue	Világos acélkék	#B0C4DE	176	196	222
CornflowerBlue	Kukoricavirág-kék	#6495ED	100	149	237
Lavender	Levendula	#E6E6FA	230	230	250
GhostWhite	Szellemfehér	#F8F8FF	248	248	255
MidnightBlue	Éjkék	#191970	25	25	112
SlateBlue	Palakék	#6A5ACD	106	90	205
DarkSlateBlue	Sötét palakék	#483D8B	72	61	139
MediumSlateBlue	Közép palakék	#7B68EE	123	104	238
MediumPurple	Középlila	#9370DB	147	112	219
Indigo	Indigó	#4B0082	75	0	130
MediumOrchid	Középorchidea	#BA55D3	186	85	211
Plum	Szilva	#DDA0DD	221	160	221
Violet	Ibolya	#EE82EE	238	130	238
Thistle	Bogáncs	#D8BFD8	216	191	216
Orchid	Orchidea	#DA70D6	218	112	214
LavenderBlush	Levendula	#FFF0F5	255	240	245
PaleVioletRed	Sápadt violavörös	#DB7093	219	112	147
Pink	Rózsaszín	#FFC0CB	255	192	203
LightPink	Világos rózsaszín	#FFB6C1	255	182	193
Black	Fekete	#000000	0	0	0
DimGray	Tompaszürke	#696969	105	105	105
Gray	Szürke	#808080	128	128	128
DarkGray	Sötét szürke	#A9A9A9	169	169	169
Silver	Ezüst	#C0C0C0	192	192	192
LightGrey	Világos szürke	#D3D3D3	211	211	211
Gainsboro	Halványszürke	#DCDCDC	220	220	220
WhiteSmoke	Fehér füstszürke	#F5F5F5	245	245	245
White	Fehér	#FFFFFF	255	255	255
